"ID","Destination URL","Short URL","Slashtag","Total Clicks","Title/Label","Redirect Code","Password","Created At (UTC)"
"73583429","https://avantadesign.notion.site/Hacienda-Tepetlcalli-5bd15da5149b4a058b1322fe5e651bc2?pvs=4","https://avanta.design/HTepetlcalliNotion","HTepetlcalliNotion","1 ","Notion | Hacienda Tepetlcalli 1870","301","","2024-02-17 03:04:09"
"73584648","https://avantadesign.notion.site/Aventia-da26465de21f4ec7bd98fe09db9c84d8?pvs=4","https://avanta.design/AventiaNotion","AventiaNotion","30 ","Aventia | Notion","301","","2024-02-17 03:05:43"
"73584741","https://chat.openai.com/g/g-WXWxIY3DV-aventiagpt","https://avanta.design/AventiaGPT","AventiaGPT","18 ","AventiaGPT","301","","2024-02-17 03:07:41"
"73584773","https://1drv.ms/f/s!AtAQGskiu3teh68-sP2OTwOuhIRA-w?e=wJd453","https://avanta.design/AventiaPressKit","AventiaPressKit","56 ","","301","","2024-02-17 03:10:47"
"73587079","https://1drv.ms/f/s!AtAQGskiu3teh6oOuw34ZUfHg_4fFg?e=elfUDj","https://avanta.design/AventiaDocs","AventiaDocs","23 ","Aventia Documents","301","","2024-02-17 04:55:56"
"73587182","https://avantadesign.notion.site/FORO-C-MEM-8e811a5fbcc2464bb40a8e6155cc792c?pvs=4","https://avanta.design/ForoC-MEMPuebla","ForoC-MEMPuebla","5 ","Foro C-MEM Puebla | Aventia","301","","2024-02-17 05:05:32"
"73588714","https://chat.openai.com/g/g-PKJNxnBMi-aventiatechincalgpt","https://avanta.design/AventiaTechnicalGPT","AventiaTechnicalGPT","4 ","AventiaTechnicalGPT","301","","2024-02-17 07:25:37"
"73703178","https://avantadesign.notion.site/REDES-SOCIALES-INDIGO-3f15f6ee56a74eb2b1b6dbc0aee1f123?pvs=4","https://avanta.design/RedesIndigo","RedesIndigo","25 ","Redes Indigo | Avanta-Ikal","301","","2024-02-21 17:27:29"
"74248304","https://avantadesign.notion.site/Tecnolog-as-Aventia-ES-9dcacfbbfad34ad88427fd6fdfc9576f?pvs=4","https://avanta.design/TecnologiasAventiaES","TecnologiasAventiaES","303 ","Tecnologías Aventia Español","301","","2024-03-08 22:57:42"
"74327436","https://avantadesign.notion.site/Tecnolog-as-Aventia-EN-dbc0491b0180444eb55db46092df9ce0?pvs=4","https://avanta.design/AventiaTecnologiesEN","AventiaTecnologiesEN","41 ","Aventia Tecnologies ENGLISH","301","","2024-03-12 02:09:47"
"75015778","https://chat.openai.com/g/g-popYAePu8-indigogpt","https://avanta.design/IndigoGPT","IndigoGPT","3 ","IndigoGPT","301","","2024-04-04 17:48:43"
"75015854","https://chat.openai.com/g/g-xUrd0d9PH-tepetlcalligpt","https://avanta.design/TepetlcalliGPT","TepetlcalliGPT","3 ","TepetlcalliGPT","301","","2024-04-04 17:51:06"
"75346591","https://chat.openai.com/g/g-0PQXYlwEv-avantagpt","https://avanta.design/AvantaGPT","AvantaGPT","5 ","🟠 AvantaGPT","301","","2024-04-17 03:48:31"
"75831212","https://1drv.ms/f/s!AtAQGskiu3teh6ZitwgK-9n9Jp0_jQ?e=3nYcq2","https://avanta.design/TepetlcalliDocsInformativos","TepetlcalliDocsInformativos","0 ","Documentos Informativos | Hacienda Tepetlcalli","301","","2024-04-30 21:03:24"
"75831683","https://1drv.ms/f/s!AtAQGskiu3tehq0PQmJUpwMVRz8sFg?e=reXFHF","https://avanta.design/TepetlcalliPressKit","TepetlcalliPressKit","10 ","","301","","2024-04-30 21:54:23"
"75980562","https://1drv.ms/f/s!AtAQGskiu3teh8xfx_95cJg9_WmSpw?e=oZtThi","https://avanta.design/AventiaPresentaciones","AventiaPresentaciones","86 ","Aventia Presentaciones","301","","2024-05-06 02:23:41"
"77266973","https://avantadesign.notion.site/HyperCube-f07e48f5d997446b928e693812c297cb?pvs=4","https://avanta.design/HypercubeNotion","HypercubeNotion","8 ","⬜ Hypercube Notion","301","","2024-06-11 03:00:41"
"77791546","https://avantadesign.com/m","https://avanta.design/ceo","ceo","3 ","Mateo Reyes | Avanta Design","301","","2024-06-26 01:03:25"
"77791607","https://avantadesign.com/mac","https://avanta.design/mac","mac","2 ","Macarena Macip | Avanta Design","301","","2024-06-26 01:06:37"
"78069926","https://aventiapresentacionesp.my.canva.site/","https://avanta.design/AventiaPresentacionESP","AventiaPresentacionESP","11 ","Aventia Presentacion ESP","301","","2024-07-04 21:53:57"
"83316565","https://www.amazon.com.mx/Hisense-Pantalla-43A6N-Google-Works/dp/B0CZWPDP34/ref=sr_1_5?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=16YZL2TK1JIDJ&dib=eyJ2IjoiMSJ9.uy_oI5SrHY8O-APSPdgsVxCh5UVkbIvNoEFW--5gP-bhZwNXbKV5HVbH8Kh4VmSB13nuvUdHv8Z3-GJZinREcDqqOSa1weUbFE0tLg-H3T7H8BmrfTh_8-Bvbr6wdYqFVOGHgJuZgvxzJHrYQVPIdZbF_JwrujS8shAiii123aWMqDtLHWEfRYltZdEt51JzrbuVzmO-creyZNFYNJKnhybuVchVl9YTSxbM2C_N3gHlaK8bOo7URGhaintXJNNFxMT-56BxQAZWMKb94DOznC6pSAAafiZd58HS2r_BQJQ.dCB3bAge6_bd5O4AX5E-VoFZFQ9HCTLHvR9h0HSVf04&dib_tag=se&keywords=google%2Btv%2B43%2Bpulgadas%2B4k%2B60hz&qid=1730761273&sprefix=google%2Btv%2B43%2Bpulgadas%2B4k%2B60hz%2Caps%2C129&sr=8-5&ufe=app_do%3Aamzn1.fos.709e624a-cf89-43d6-ada3-7117189c8ad8&th=1","https://t2m.io/Ygp1xJS","Ygp1xJS","3 ","TV Amazon Recepcion","301","","2024-11-04 22:51:10"
"83316610","https://www.amazon.com.mx/Amazon-Basics-Soporte-Pared-articulado/dp/B01KBEOL5E/ref=pd_day0fbt_d_sccl_1/145-5777788-1592853?pd_rd_w=GT4TI&content-id=amzn1.sym.7097b179-c7b2-4b3f-9bd2-0a674e70d880&pf_rd_p=7097b179-c7b2-4b3f-9bd2-0a674e70d880&pf_rd_r=0V2HT9KFX8D5XJWA3PMV&pd_rd_wg=HQ403&pd_rd_r=543580a6-603f-4505-b75f-d0c0ca8f5a3a&pd_rd_i=B01KBEOL5E&th=1","https://t2m.io/78HgUFK","78HgUFK","0 ","TV Amazon Soporte Recepcion","301","","2024-11-04 22:54:00"
"83317070","https://www.amazon.com.mx/TCL-Pantalla-65S451G-Digital-Compatible/dp/B0D23YJFNQ/ref=sr_1_9?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=FV1A65FUAF3P&dib=eyJ2IjoiMSJ9.BuXfCqk2BjigomC2gdMYPgtzGnL4wVotgq31oQWb94NY8IsspHcnjclysl_tidm_EunowUvkoykceDnTiTNSCWPDqIhVWSd_HBRTPAOiC6owwMmCIQdGs1rPxCAcu9Q3SR-wPRIUyBKfX5fVBP-PKxqBvCaw0NNY39oXh5nW6qjUaBE7c1tMapTdNmSofuLu55XN8iIbttqxwAfBkWJLeNi_q7AL-cQyDJ1IjrcpGvxrP0FNlhnsDDr2OnDd34pjDCWSwCfX40O8oZWp5fqV4a-mEQiYsr8uyFAQinPW0EQ.0TqUFc3649y9PTg3PYzH3UonzMf7b1_YEe_6IF-ljpE&dib_tag=se&keywords=tv%2B70%2Bpulgadas%2B4k%2B120hz&qid=1730760996&sprefix=tv%2B70%2Bpulgadas%2B4k%2B120hz%2Caps%2C121&sr=8-9&ufe=app_do%3Aamzn1.fos.709e624a-cf89-43d6-ada3-7117189c8ad8&th=1","https://t2m.io/5zLD5SM","5zLD5SM","2 ","TV Amazon 65 Pulgadas","301","","2024-11-04 23:03:08"
"83317090","https://www.amazon.com.mx/Pulgadas-Television-Ajustable-Capacidad-600x400mm/dp/B0D99ZXCWF/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.xumKqDRRdYRimP5zf6SSrUlR7vJ8dlP3O7hK7n26UXkebXdnzWJxSBIJgNvM4_wOcGeclZAmb8UJq7YjPX7L3shUn1F1GbWfTOHVSHlupECMhfB5YSttq305X5stVFd6J2DoveFtKDuoJpy7L5sJ5woTHoGwB6ISZ7V8gH70LEBb7UMUFVIwJXWYdApuBpT-EHe80_kwM0cfcaTTOMx7Q-c-3zvkmWhTcBy21G8Tt6VWQvkix2R38cMuFV5INSALq83dTdkrEdn06eLU3cP2YJ4BISJGfTYu6b0H0Z7Be6k.0xzIICxZ4bMK0tWU0IGnX5-f5VGe7jrDdgsnbh3Y6SE&dib_tag=se&keywords=soporte+piso+65+pulgadas&qid=1730761410&s=electronics&sr=1-7&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b","https://t2m.io/8LC3ykO","8LC3ykO","1 ","Soporte Piso 65 Pulgadas","301","","2024-11-04 23:04:03"
"83317323","https://www.alibaba.com/product-detail/Standing-Man-Black-Mannequin-Full-Body_1601147020425.html?spm=a2700.details.you_may_like.1.6a2c61202Ef3Mf","https://t2m.io/QmgGD0C","QmgGD0C","0 ","Maniqui Opcion A","301","","2024-11-04 23:14:06"
"83317336","https://www.alibaba.com/product-detail/plastic-lifelike-realistic-clear-female-Degradable_60548455572.html?spm=a2700.details.you_may_like.2.6a2c61202Ef3Mf","https://t2m.io/Mzm01Kk","Mzm01Kk","0 ","Maniqui Opcion B","301","","2024-11-04 23:15:02"
"83317834","https://www.amazon.com.mx/ZEUTICA-Tapete-Adhesivo-Pulgadas-Pegajoso/dp/B0BXWBVMSH/ref=sr_1_1?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1O4LA9OW9GWBW&dib=eyJ2IjoiMSJ9.ZoBXcz2t2HbtXcRCrnwwQI-W4Lbdp4LFpiNiyIyIeIOjqswUqWCmRJvpA2c-OEiIrgDonwoZHYct1JaadoVAsriPUr2h4owq3xj4uu4fm74hAmJPqwW7HJYQLfb1BrvVDLNt2C-8AabLpx1Xvh1hCLyvb1hMtTpbztYqFeUQmmx-oiBav-UHbVfV1Qh5CfZRWhOi9zqcTkYy_d_l8Q_7oRMNLlB_B0bataNlCYtB1EDYmV-nMuXjTJAGwTNW4Izz5DYH0YUWtzV2onGjGh11mg7XasM6Kel2L-wTOYPnGe4.8V1Pp13wCWeW04XpLm4AhLppqXpkRrmPlD2tNjw_4R4&dib_tag=se&keywords=tapete%2Badhesivo&qid=1730762624&sprefix=tpete%2Badhesidvo%2Caps%2C142&sr=8-1&ufe=app_do%3Aamzn1.fos.db4f1a57-87f1-43c5-9a39-0cdca6036b57&th=1","https://t2m.io/DTZFUyV","DTZFUyV","0 ","Tapete Adhesivo","301","","2024-11-04 23:24:55"
"83318141","https://www.amazon.com.mx/Adhesivos-Almohadilla-Adhesiva-Suciedad-Construcci%C3%B3n/dp/B0D7FHBRSJ/ref=sr_1_2?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1O4LA9OW9GWBW&dib=eyJ2IjoiMSJ9.ZoBXcz2t2HbtXcRCrnwwQI-W4Lbdp4LFpiNiyIyIeIOjqswUqWCmRJvpA2c-OEiIrgDonwoZHYct1JaadoVAsriPUr2h4owq3xj4uu4fm74hAmJPqwW7HJYQLfb1BrvVDLNt2C-8AabLpx1Xvh1hCLyvb1hMtTpbztYqFeUQmmx-oiBav-UHbVfV1Qh5CfZRWhOi9zqcTkYy_d_l8Q_7oRMNLlB_B0bataNlCYtB1EDYmV-nMuXjTJAGwTNW4Izz5DYH0YUWtzV2onGjGh11mg7XasM6Kel2L-wTOYPnGe4.8V1Pp13wCWeW04XpLm4AhLppqXpkRrmPlD2tNjw_4R4&dib_tag=se&keywords=tapete+adhesivo&qid=1730762624&sprefix=tpete+adhesidvo%2Caps%2C142&sr=8-2&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b","https://t2m.io/1QJzfEV","1QJzfEV","0 ","Tapete Adhesivo en paquetes de 10","301","","2024-11-04 23:26:20"
"83318908","https://www.alibaba.com/product-detail/Rubber-and-Plastic-cable-ramp-5_1600739647692.html?spm=a2700.galleryofferlist.normal_offer.d_title.4c7913a0FVwOXA","https://t2m.io/sqNhjju","sqNhjju","2 ","Rampas cable piso","301","","2024-11-04 23:32:59"
